id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,change width,71,48,34,96,266,ship,baseline,monotonic-signal
g002,diagnostic quality,57,33,43,67,161,watch,edge,drag-penalty
g003,review cost,54,63,7,65,285,ship,recovery,confidence-floor
g004,safe rewrite,100,45,32,103,329,ship,negative,lane-boundary
g005,change width,82,39,25,84,276,ship,baseline,monotonic-signal
g006,diagnostic quality,77,38,23,36,220,ship,edge,drag-penalty
g007,review cost,34,40,24,102,202,ship,recovery,confidence-floor
g008,safe rewrite,60,9,5,97,225,ship,negative,lane-boundary
g009,change width,76,31,39,56,192,ship,baseline,monotonic-signal
g010,diagnostic quality,88,44,15,40,274,ship,edge,drag-penalty
g011,review cost,53,53,26,36,196,ship,recovery,confidence-floor
g012,safe rewrite,39,25,33,82,144,watch,negative,lane-boundary
g013,change width,80,14,27,23,157,watch,baseline,monotonic-signal
g014,diagnostic quality,104,11,15,41,241,ship,edge,drag-penalty
g015,review cost,75,47,32,98,278,ship,recovery,confidence-floor
g016,safe rewrite,64,67,42,88,266,ship,negative,lane-boundary
g017,change width,62,10,6,87,219,ship,baseline,monotonic-signal
g018,diagnostic quality,65,19,11,48,194,ship,edge,drag-penalty
g019,review cost,70,61,36,76,266,ship,recovery,confidence-floor
g020,safe rewrite,76,49,8,95,329,ship,negative,lane-boundary
g021,change width,82,11,16,66,220,ship,baseline,monotonic-signal
g022,diagnostic quality,45,29,22,64,168,watch,edge,drag-penalty
g023,review cost,74,41,5,102,322,ship,recovery,confidence-floor
g024,safe rewrite,92,49,19,83,327,ship,negative,lane-boundary
g025,change width,104,17,28,35,221,ship,baseline,monotonic-signal
g026,diagnostic quality,114,77,34,101,415,ship,edge,drag-penalty
g027,review cost,78,40,17,96,298,ship,recovery,confidence-floor
g028,safe rewrite,64,24,10,55,211,ship,negative,lane-boundary
g029,change width,104,18,8,39,267,ship,baseline,monotonic-signal
g030,diagnostic quality,84,53,9,35,291,ship,edge,drag-penalty
g031,review cost,33,38,32,81,159,watch,recovery,confidence-floor
g032,safe rewrite,112,68,24,22,334,ship,negative,lane-boundary
g033,change width,98,50,42,40,252,ship,baseline,monotonic-signal
g034,diagnostic quality,95,44,11,97,353,ship,edge,drag-penalty
g035,review cost,53,43,18,87,243,ship,recovery,confidence-floor
g036,safe rewrite,35,45,12,86,222,ship,negative,lane-boundary
g037,change width,30,14,42,47,51,hold,baseline,monotonic-signal
g038,diagnostic quality,75,36,17,75,263,ship,edge,drag-penalty
g039,review cost,101,49,27,94,340,ship,recovery,confidence-floor
g040,safe rewrite,117,58,33,65,349,ship,negative,lane-boundary
g041,change width,41,30,38,63,129,watch,baseline,monotonic-signal
g042,diagnostic quality,94,19,21,101,285,ship,edge,drag-penalty
g043,review cost,80,16,35,82,204,ship,recovery,confidence-floor
g044,safe rewrite,33,52,43,34,118,hold,negative,lane-boundary
g045,change width,57,72,7,100,344,ship,baseline,monotonic-signal
g046,diagnostic quality,116,15,32,95,293,ship,edge,drag-penalty
g047,review cost,105,24,4,54,304,ship,recovery,confidence-floor
g048,safe rewrite,103,66,13,38,350,ship,negative,lane-boundary
g049,change width,106,54,19,34,316,ship,baseline,monotonic-signal
g050,diagnostic quality,111,16,44,80,246,ship,edge,drag-penalty
g051,review cost,117,34,37,21,249,ship,recovery,confidence-floor
g052,safe rewrite,35,46,35,39,131,watch,negative,lane-boundary
g053,change width,86,54,36,96,304,ship,baseline,monotonic-signal
g054,diagnostic quality,115,22,17,86,326,ship,edge,drag-penalty
g055,review cost,45,12,9,85,181,ship,recovery,confidence-floor
g056,safe rewrite,57,45,27,46,196,ship,negative,lane-boundary
g057,change width,67,29,38,74,190,ship,baseline,monotonic-signal
g058,diagnostic quality,31,23,45,93,111,hold,edge,drag-penalty
g059,review cost,105,58,39,64,312,ship,recovery,confidence-floor
g060,safe rewrite,57,43,27,62,208,ship,negative,lane-boundary
g061,change width,37,73,44,100,232,ship,baseline,monotonic-signal
g062,diagnostic quality,74,55,12,81,315,ship,edge,drag-penalty
g063,review cost,65,49,18,33,225,ship,recovery,confidence-floor
g064,safe rewrite,51,48,23,99,251,ship,negative,lane-boundary
g065,change width,48,50,6,94,278,ship,baseline,monotonic-signal
g066,diagnostic quality,94,19,20,53,239,ship,edge,drag-penalty
g067,review cost,76,41,28,37,215,ship,recovery,confidence-floor
g068,safe rewrite,71,54,34,33,215,ship,negative,lane-boundary
g069,change width,116,63,17,79,403,ship,baseline,monotonic-signal
g070,diagnostic quality,54,35,31,20,136,watch,edge,drag-penalty
g071,review cost,70,24,40,38,146,watch,recovery,confidence-floor
g072,safe rewrite,82,21,4,95,293,ship,negative,lane-boundary
g073,change width,47,57,29,85,235,ship,baseline,monotonic-signal
g074,diagnostic quality,33,77,22,84,260,ship,edge,drag-penalty
g075,review cost,74,20,20,45,193,ship,recovery,confidence-floor
g076,safe rewrite,98,29,21,73,285,ship,negative,lane-boundary
g077,change width,69,71,44,92,284,ship,baseline,monotonic-signal
g078,diagnostic quality,58,59,36,63,225,ship,edge,drag-penalty
g079,review cost,56,21,12,61,191,ship,recovery,confidence-floor
g080,safe rewrite,59,39,23,99,249,ship,negative,lane-boundary
g081,change width,64,51,30,80,250,ship,baseline,monotonic-signal
g082,diagnostic quality,70,59,24,32,242,ship,edge,drag-penalty
